record_id	paper_id	doi	pmcid	status	license	license_url	source_url	source_sha256	table_count	cell_count	stat_candidate_cells	error
R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	10.1038/s42003-022-03423-8	PMC9163123	existing_verified	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9163123/fullTextXML	46d9481903bb21d91e26d1b2ef8483e572a68ce62f6f252057f7c3aa3c1a9bce	0	0	0	
R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	10.3389/fbioe.2022.895289	PMC9385969	existing_verified	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9385969/fullTextXML	2f4b21e9ee7e1fb83a6559551c7d96c227480b5170584666d7880db636764643	2	128	0	
R017	serum-free-media-for-the-growth-of-primary-bovine-myoblasts	10.1007/s10616-019-00361-y	PMC7002633	existing_verified	CC-BY-4.0	http://creativecommons.org/licenses/by/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7002633/fullTextXML	afdf627dc1e7cfaec01273aa273d269b16ee9dfd32081200d89078fe7ab9ca48	0	0	0	
R019	spent-media-analysis-suggests-cultivated-meat-media-will-require-species-and-cel	10.1038/s41538-022-00157-z	PMC9523075	existing_verified	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9523075/fullTextXML	19741ef004cdecbcfef429918844f46a76264ab6fac5c0fcebf7f18b60f20cf9	0	0	0	
R020	development-of-serum-free-and-grain-derived-nutrient-free-medium-using-microalga	10.1038/s41598-023-27629-w	PMC9832167	existing_verified	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9832167/fullTextXML	8278ab8c2b4355321f6b0d672ee3f265102fb55a25b41540feb3e672593a05ec	1	26	0	
R022	low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med	10.1038/s41598-025-99603-7	PMC12045953	existing_verified	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12045953/fullTextXML	2190eb7e56101a87e5d89664d20685d75120f1d4a1fc03e22a4bcb013cfe1ab1	0	0	0	
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	10.3390/ani13111855	PMC10251972	existing_verified	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10251972/fullTextXML	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	13	841	0	
R029	the-role-of-insulin-in-the-proliferation-and-differentiation-of-bovine-muscle-sa	10.1038/s41598-018-28746-7	PMC6050236	existing_verified	CC-BY-4.0	http://creativecommons.org/licenses/by/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6050236/fullTextXML	814e96b8ec5554cadf5157f844f22b7bc82cc32aa5c792c27acb7cbf1c03e4bc	0	0	0	
R046	serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant	10.1016/j.isci.2025.113242	PMC12362010	existing_verified	CC-BY-NC-ND-4.0	https://creativecommons.org/licenses/by-nc-nd/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12362010/fullTextXML	604301a7c7f82d77615f07995faf8521bbf3c1ace99b832f1843a45c804e717f	1	263	0	
