record_id	paper_id	doi	pdf_path	pdf_sha256	pdf_pages	license	license_evidence	jats_status	jats_source_sha256	broad_candidate_pages	strict_candidate_pages	extracted_assets	status
R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	10.3389/fbioe.2022.895289	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov.pdf	4d2d8aee7a7ab69d7504f3bd67f743cdb1e8a35825e22244699bd4033b2e7c04	15	CC-BY-4.0	verified_jats_registry	verified	2f4b21e9ee7e1fb83a6559551c7d96c227480b5170584666d7880db636764643	1	0	1	ready_for_visual_review
R021	a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells	10.1016/j.foodres.2023.113194	data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells.pdf	dc6170936fc6e49ffa7109d5985988bc5454ff4211cd3ed4ba042828f9610b35	17	CC-BY-4.0	verified_pdf_text	not_registered		8	6	8	ready_for_visual_review
R022	low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med	10.1038/s41598-025-99603-7	data/papers/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med.pdf	cff8bbad90f958f6a0a311c5692c482cd3e8420462d2502bd949fc64869719f4	16	CC-BY-4.0	verified_jats_registry	verified	2190eb7e56101a87e5d89664d20685d75120f1d4a1fc03e22a4bcb013cfe1ab1	3	0	3	ready_for_visual_review
