record_id	paper_id	doi	pmcid	status	license	license_url	source_url	source_sha256	table_count	cell_count	stat_candidate_cells	error
R052	drone-pupae-extract-enhances-hanwoo-myosatellite-cell-function-for-cultivated-me	10.5187/jast.2024.e98	PMC11833203	existing_verified	CC-BY-NC-4.0	https://creativecommons.org/licenses/by-nc/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11833203/fullTextXML	ef7767e27f77c9a47098ddd414ea6ecb0d6cd41838f9a8e8c3ee9fe6df153901	6	110	28	-
R053	the-l-ascorbic-acid-increases-proliferation-and-differentiation-of-yanbian-cattl	10.5851/kosfa.2024.e50	PMC11907417	existing_verified	CC-BY-NC-3.0	https://creativecommons.org/licenses/by-nc/3.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11907417/fullTextXML	456c1a7dcad5d248ad02bac14c3abc367815ded5de1cc22994b1d603258991ac	1	44	0	-
R054	effect-of-glucose-and-lysine-supplementation-on-myogenic-and-adipogenic-gene-exp	10.1016/j.crfs.2024.100879	PMC11530603	existing_verified	CC-BY-NC-ND-4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11530603/fullTextXML	7b588eca929d73ce7a5d2d0dc17b6d959d1c37a5dc82fea15572d75f1e9e4036	12	652	20	-
R055	effect-of-crude-polysaccharides-from-ecklonia-cava-hydrolysate-on-cell-prolifera	10.3390/foods13040563	PMC10887812	existing_verified	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10887812/fullTextXML	e15e92cc8cca059fffa8a089855e4608420496fa1d752c0e8430ef2f2a3e79ff	1	39	0	-
R056	conditioned-serum-free-culture-medium-accomplishes-adhesion-and-proliferation-of	10.1038/s41538-024-00355-x	PMC11666793	existing_verified	CC-BY-NC-ND-4.0	https://creativecommons.org/licenses/by-nc-nd/4.0/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11666793/fullTextXML	8e4e0459f236480a5fdc215a74dfaa0a47d3b5c9b8de88ac159ec203b8735eb0	0	0	0	-
